IDNr,Genus,Species,Cultivar,Dutch,English,From_where,Rootstock_species,Rootstock_source,Date_seeded,Date_grafted,Date_planted,Date_sold,Price,Size,Pot,Picture_filename,Comment,Customer,Long,Lat
21-0110,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0111,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0112,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0113,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0114,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0115,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0116,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0117,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0118,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0119,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-29,2021-05-26,0,,x,,65x uit tafel 2 (entomatic prototype),,,
21-0120,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-30,,30,,W,,53x uit tafel 1 (entomatic #6),,,
21-0121,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-30,,30,,W,,53x uit tafel 1 (entomatic #6),,,
21-0122,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-30,,30,,W,,53x uit tafel 1 (entomatic #6),,,
21-0123,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-30,2021-05-26,0,,x,,53x uit tafel 1 (entomatic #6),,,
21-0124,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-30,2021-05-26,0,,x,,53x uit tafel 1 (entomatic #6),,,
21-0125,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-30,2021-05-26,0,,x,,53x uit tafel 1 (entomatic #6),,,
21-0126,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-30,2021-05-26,0,,x,,53x uit tafel 1 (entomatic #6),,,
21-0127,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-30,2021-05-26,0,,x,,53x uit tafel 1 (entomatic #6),,,
21-0128,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-30,2021-05-26,0,,x,,53x uit tafel 1 (entomatic #6),,,
21-0129,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-30,2021-05-26,0,,x,,53x uit tafel 1 (entomatic #6),,,
21-0130,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-30,2021-05-26,0,,x,,53x uit tafel 1 (entomatic #6),,,
21-0131,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-30,2021-05-26,0,,x,,53x uit tafel 1 (entomatic #6),,,
21-0132,Castanea,sativa x cr.,Marigoule,Tamme kastanje,Chestnut,Ketelbroek,Castanea sativa,J.Aerts,,2020-01-07,2021-01-30,2021-05-26,0,,x,,53x uit tafel 1 (entomatic #6),,,
